game,tick,actor_id,name,strategy,n_props,port_wealth,cash,final_score,risk_cost
7,19,player,You,player,5,1128066.0,1349879.0,1476046.0,0.0
7,19,ai1,Ms Di Vidend,yield,6,572470.0,2322533.0,1621479.0,0.0
7,19,ai2,Ms Demi Graphic,demographic,8,1699752.0,1530267.0,1911291.0,16350.0
7,20,player,You,player,5,1250462.0,1419584.0,1476046.0,0.0
7,20,ai1,Ms Di Vidend,yield,7,920858.0,2199621.0,1621479.0,0.0
7,20,ai2,Ms Demi Graphic,demographic,8,1829614.0,1584027.0,1911291.0,16350.0
8,1,player,You,player,3,479700.0,586904.0,820283.0,5115.0
8,1,ai1,Ms Di Vidend,yield,2,206900.0,1341227.0,1523498.0,0.0
8,1,ai2,Mr Ray Novate,value_add,2,328900.0,1169800.0,1311893.0,0.0
8,2,player,You,player,3,458714.0,624362.0,820283.0,5115.0
8,2,ai1,Ms Di Vidend,yield,2,197048.0,1419557.0,1523498.0,0.0
8,2,ai2,Mr Ray Novate,value_add,2,306571.0,1237202.0,1311893.0,0.0
8,3,player,You,player,3,414426.0,667949.0,820283.0,5115.0
8,3,ai1,Ms Di Vidend,yield,2,187195.0,1491541.0,1523498.0,0.0
8,3,ai2,Mr Ray Novate,value_add,2,271888.0,1293086.0,1311893.0,0.0
8,4,player,You,player,3,401339.0,704869.0,820283.0,5115.0
8,4,ai1,Ms Di Vidend,yield,2,181284.0,1549287.0,1523498.0,0.0
8,4,ai2,Mr Ray Novate,value_add,2,262847.0,1337026.0,1311893.0,0.0
8,5,player,You,player,3,386071.0,742868.0,820283.0,5115.0
8,5,ai1,Ms Di Vidend,yield,2,174387.0,1613737.0,1523498.0,0.0
8,5,ai2,Mr Ray Novate,value_add,2,243333.0,1394447.0,1311893.0,0.0
8,6,player,You,player,3,372984.0,770524.0,820283.0,5115.0
8,6,ai1,Ms Di Vidend,yield,3,210143.0,1612934.0,1523498.0,0.0
8,6,ai2,Mr Ray Novate,value_add,3,267269.0,1406797.0,1311893.0,0.0
8,7,player,You,player,4,376640.0,786547.0,820283.0,5115.0
8,7,ai1,Ms Di Vidend,yield,3,177138.0,1646274.0,1523498.0,0.0
8,7,ai2,Mr Ray Novate,value_add,3,227406.0,1445648.0,1311893.0,0.0
8,8,player,You,player,4,374384.0,807258.0,820283.0,5115.0
8,8,ai1,Ms Di Vidend,yield,4,203738.0,1625521.0,1523498.0,0.0
8,8,ai2,Mr Ray Novate,value_add,3,208049.0,1494621.0,1311893.0,0.0
8,9,player,You,player,4,372927.0,834671.0,820283.0,5115.0
8,9,ai1,Ms Di Vidend,yield,4,181936.0,1665987.0,1523498.0,0.0
8,9,ai2,Mr Ray Novate,value_add,3,208153.0,1536081.0,1311893.0,0.0
